Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,botminds,['chennai'],not disclosed,    we are looking for an exceptional ml engineer who can help us to provide a great us...,2-5 yrs,"education
ug: any graduate
pg: llm in law","['deep learning', 'artificial intelligence', 'saas', 'machine learning', 'infrastructure development', 'manager technology', 'programming', 'research', 'python']",17.5,27.5,2.0,5.0
not mentioned,galaxy weblinks,['remote'],not disclosed,"proficiency in data preprocessing, feature engineering, and model evaluation techniques...",2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'version control', 'git', 'artificial intelligence', 'machine learning', 'cloud', 'predictive modeling', 'natural language processing', 'management', 'python']",17.5,27.5,2.0,6.0
not mentioned,not mentioned,['bhopal'],not disclosed,"preferred qualification: phd in computer science or related areas, such as, phd in ml /...",0-3 yrs,"education
ug: any graduate
pg: any postgraduate","['machine learning', 'research', 'robotics', 'python']",17.5,27.5,0.0,3.0
not mentioned,marsian technologies,['pune'],not disclosed,good to have aws or gcp skillset or docker,0-1 yrs,"education
ug: b.sc in chemistry
pg: any postgraduate","['computer science', 'software architecture', 'statistical analysis', 'gcp', 'data modeling', 'analytical', 'machine learning', 'data structures', 'mathematics', 'python']",17.5,27.5,0.0,1.0
not mentioned,not mentioned,"['chandigarh', ' panchkula']",not disclosed,"minimum requirements: . this work will involve resources having experience in ai, data ...",0-2 yrs,"education
ug: b.tech/b.e. in computers
pg: post graduation not required","['nosql', 'web services', 'web technologies', 'data science', 'django', 'machine learning', 'manager technology', 'spring', 'sql', 'python']",17.5,27.5,0.0,2.0
not mentioned,splore human centric ai,['bengaluru'],not disclosed,"experience with data-driven product development: analytics, a / b testing, etc . strong...",4-9 yrs,"education
ug: b.sc in any specialization
pg: any postgraduate","['computer vision', 'coding', 'artificial intelligence', 'machine learning', 'information retrieval', 'perl', 'forecasting', 'analytics', 'python']",17.5,27.5,4.0,9.0
not mentioned,lmes academy,['chennai'],not disclosed,retrieval-augmented generation (rag): good understanding on rag systems to improve the ...,2-4 yrs,"education
ug: any graduate","['generative ai', 'api', 'python']",17.5,27.5,2.0,4.0
not mentioned,gizmeon technologies,['hybrid - kochi'],8-18 lacs pa,"gizmeon technologies, a complete digital solution provider is actively looking for 5 to...",5-10 yrs,"education
ug: b.tech/b.e. in computers","['tensorflow', 'pytorch', 'natural language processing', 'kubernetes']",8.0,18.0,5.0,10.0
not mentioned,not mentioned,['mumbai'],not disclosed,specific experience in ai areas like statistical proven experience as a machine learnin...,2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['software architecture', 'operations research', 'data modeling', 'analytical', 'artificial intelligence', 'consulting', 'machine learning', 'data structures', 'natural language processing', 'python']",17.5,27.5,2.0,5.0
not mentioned,not mentioned,['coimbatore'],not disclosed,"certification or training in mlops, machine learning, or related fields . background in...",2-7 yrs,"education
ug: any graduate
pg: any postgraduate","['erp', 'orchestration', 'data science', 'machine learning', 'data structures', 'data processing', 'customer relationship', 'team building', 'python', 'crm']",17.5,27.5,2.0,7.0
